card_no,bird_name,search_key,audio_file,audio_path,clip_index,clip_type,is_main,source_id,file_size_bytes
71,Northern Cardinal,northerncardinal,71_Northern_Cardinal_130905_1_call.m4a,src/AudioClip/71_Northern_Cardinal_130905_1_call.m4a,1,call,false,130905,4574
71,Northern Cardinal,northerncardinal,71_Northern_Cardinal_130905_2_call.m4a,src/AudioClip/71_Northern_Cardinal_130905_2_call.m4a,2,call,false,130905,4932
71,Northern Cardinal,northerncardinal,71_Northern_Cardinal_130905_4_call_main.m4a,src/AudioClip/71_Northern_Cardinal_130905_4_call_main.m4a,4,call,true,130905,46072
72,Yellow Bellied Sapsucker,yellowbelliedsapsucker,72_Yellow_Bellied_Sapsucker_132198_1_call.m4a,src/AudioClip/72_Yellow_Bellied_Sapsucker_132198_1_call.m4a,1,call,false,132198,6292
72,Yellow Bellied Sapsucker,yellowbelliedsapsucker,72_Yellow_Bellied_Sapsucker_132198_2_call.m4a,src/AudioClip/72_Yellow_Bellied_Sapsucker_132198_2_call.m4a,2,call,false,132198,5268
72,Yellow Bellied Sapsucker,yellowbelliedsapsucker,72_Yellow_Bellied_Sapsucker_132198_3_call.m4a,src/AudioClip/72_Yellow_Bellied_Sapsucker_132198_3_call.m4a,3,call,false,132198,5434
72,Yellow Bellied Sapsucker,yellowbelliedsapsucker,72_Yellow_Bellied_Sapsucker_132198_4_call_main.m4a,src/AudioClip/72_Yellow_Bellied_Sapsucker_132198_4_call_main.m4a,4,call,true,132198,23818
73,Indigo Bunting,indigobunting,73_Indigo_Bunting_79477_1_call.m4a,src/AudioClip/73_Indigo_Bunting_79477_1_call.m4a,1,call,false,79477,4460
73,Indigo Bunting,indigobunting,73_Indigo_Bunting_79477_2_call.m4a,src/AudioClip/73_Indigo_Bunting_79477_2_call.m4a,2,call,false,79477,3283
73,Indigo Bunting,indigobunting,73_Indigo_Bunting_79477_3_call.m4a,src/AudioClip/73_Indigo_Bunting_79477_3_call.m4a,3,call,false,79477,2596
73,Indigo Bunting,indigobunting,73_Indigo_Bunting_79477_4_song_main.m4a,src/AudioClip/73_Indigo_Bunting_79477_4_song_main.m4a,4,song,true,79477,47030
74,Western Tanager,westerntanager,74_Western_Tanager_48858_1_song.m4a,src/AudioClip/74_Western_Tanager_48858_1_song.m4a,1,song,false,48858,10645
74,Western Tanager,westerntanager,74_Western_Tanager_48858_2_call.m4a,src/AudioClip/74_Western_Tanager_48858_2_call.m4a,2,call,false,48858,7459
74,Western Tanager,westerntanager,74_Western_Tanager_48858_3_call.m4a,src/AudioClip/74_Western_Tanager_48858_3_call.m4a,3,call,false,48858,6906
74,Western Tanager,westerntanager,74_Western_Tanager_48858_4_song_main.m4a,src/AudioClip/74_Western_Tanager_48858_4_song_main.m4a,4,song,true,48858,34384
75,Spotted Towhee,spottedtowhee,75_Spotted_Towhee_202271_1_song.m4a,src/AudioClip/75_Spotted_Towhee_202271_1_song.m4a,1,song,false,202271,10092
75,Spotted Towhee,spottedtowhee,75_Spotted_Towhee_202271_2_song.m4a,src/AudioClip/75_Spotted_Towhee_202271_2_song.m4a,2,song,false,202271,12213
75,Spotted Towhee,spottedtowhee,75_Spotted_Towhee_202271_3_song.m4a,src/AudioClip/75_Spotted_Towhee_202271_3_song.m4a,3,song,false,202271,10563
75,Spotted Towhee,spottedtowhee,75_Spotted_Towhee_202271_4_song_main.m4a,src/AudioClip/75_Spotted_Towhee_202271_4_song_main.m4a,4,song,true,202271,32512
76,Rose Breasted Grosbeak,rosebreastedgrosbeak,76_Rose_breasted_Grosbeak_94327_1_call.m4a,src/AudioClip/76_Rose_breasted_Grosbeak_94327_1_call.m4a,1,call,false,94327,8196
76,Rose Breasted Grosbeak,rosebreastedgrosbeak,76_Rose_breasted_Grosbeak_94327_2_call.m4a,src/AudioClip/76_Rose_breasted_Grosbeak_94327_2_call.m4a,2,call,false,94327,4841
76,Rose Breasted Grosbeak,rosebreastedgrosbeak,76_Rose_breasted_Grosbeak_94327_3_song.m4a,src/AudioClip/76_Rose_breasted_Grosbeak_94327_3_song.m4a,3,song,false,94327,9353
76,Rose Breasted Grosbeak,rosebreastedgrosbeak,76_Rose_breasted_Grosbeak_94327_4_song_main.m4a,src/AudioClip/76_Rose_breasted_Grosbeak_94327_4_song_main.m4a,4,song,true,94327,53917
77,Green Heron,greenheron,77_Green_Heron_107436_1_call.m4a,src/AudioClip/77_Green_Heron_107436_1_call.m4a,1,call,false,107436,2269
77,Green Heron,greenheron,77_Green_Heron_107436_2_call.m4a,src/AudioClip/77_Green_Heron_107436_2_call.m4a,2,call,false,107436,3127
77,Green Heron,greenheron,77_Green_Heron_107436_3_call.m4a,src/AudioClip/77_Green_Heron_107436_3_call.m4a,3,call,false,107436,2259
77,Green Heron,greenheron,77_Green_Heron_107436_4_call.m4a,src/AudioClip/77_Green_Heron_107436_4_call.m4a,4,call,false,107436,13545
77,Green Heron,greenheron,77_Green_Heron_107436_5_call_main.m4a,src/AudioClip/77_Green_Heron_107436_5_call_main.m4a,5,call,true,107436,18516
78,Gray Catbird,graycatbird,78_Gray_Catbird_10222_1_call.m4a,src/AudioClip/78_Gray_Catbird_10222_1_call.m4a,1,call,false,10222,3571
78,Gray Catbird,graycatbird,78_Gray_Catbird_10222_2_call.m4a,src/AudioClip/78_Gray_Catbird_10222_2_call.m4a,2,call,false,10222,5940
